"age","theta","sd","n","definition","index","item_info"
12,-2.49118089934717,0.666651649913024,35,"au.revoir",14,1.10694751304294
13,-2.50276726889567,0.568472955814418,91,"au.revoir",14,1.08900671175264
14,-2.38348876210973,0.635303378510394,39,"au.revoir",14,1.26951433763577
15,-1.70796553545117,0.570252165207592,26,"eau..drink.",71,3.12276285325144
16,-1.43347441955596,1.40096852899618,85,"couche",151,6.03687644346383
17,-1.24837633253514,1.57578546282937,57,"couche",151,8.21606909959639
18,-2.16908756800517,0.508951668705367,37,"bravo",18,1.52634063904046
19,-1.48705657423556,1.34469298725812,61,"couche",151,5.06727960390125
20,-0.196016938712626,1.34022650229145,68,"parler",654,9.43393764553234
21,-0.0902873873400059,1.35482902960712,95,"se.réveiller",659,6.93635920895787
22,-0.444675846191135,1.29925209297476,104,"parler",654,8.81090054493851
23,-0.527912065536225,1.27549682108772,114,"cuisine",463,8.40469752009211
24,0.113558836548773,1.24051841144291,168,"construire",616,6.37471394249931
25,-0.0438281231911808,1.3125888747026,92,"renverser",639,6.80342729585263
26,0.16241555516376,1.27738640198016,58,"se.dépêcher",349,6.18449579373937
27,0.0366003087592567,1.15532203931663,65,"renverser",639,6.75724154621533
28,0.689580869319812,1.01512593457843,60,"souhaiter",650,6.56920154078842
29,0.423337224314923,1.12721707945547,76,"penser",657,5.57341665981313
30,0.400288643880266,1.19530384814878,67,"long.ue",601,5.60061828582711
31,-0.276405149413562,0.49733809085795,29,"parler",654,10.6271182283788
32,-0.214112757653205,0.629717615763736,49,"parler",654,9.80051360257398
33,-0.158643397359813,0.502795099928539,42,"parler",654,8.55342699805194
34,-0.0120120706820928,0.480528613728565,42,"renverser",639,6.85732549389554
35,-0.00861424790413809,0.571297848710865,33,"renverser",639,6.85748550576969
36,-0.0425298664933404,0.733875939271982,10,"renverser",639,6.80746025552388
