itemID,item,item_type,category,choices,uni_lemma,definition,gloss,complexity_category,presentation_order
item_1,ay,word,col_1,understands; produces,ay,¡ay!,ay,,1
item_2,am,word,col_1,understands; produces,am,¡am!,am,,2
item_3,guagua,word,col_1,understands; produces,guagua,guaguá,bowwow,,3
item_4,maiu,word,col_1,understands; produces,meow,miau,meow,,4
item_5,qiqiriq,word,col_1,understands; produces,cockadoodledoo,quiquiriquí,cockadoodledoo,,5
item_6,gato,word,col_1,understands; produces,cat,gato,cat,,6
item_7,pollito,word,col_1,understands; produces,chicken,pollito,chicken,,7
item_8,perro,word,col_1,understands; produces,dog,perro,dog,,8
item_9,vaca,word,col_1,understands; produces,cow,vaca,cow,,9
item_10,rana,word,col_1,understands; produces,frog,rana,frog,,10
item_11,tigre,word,col_1,understands; produces,tiger,tigre,tiger,,11
item_12,mono,word,col_1,understands; produces,monkey,mono,monkey,,12
item_13,camion,word,col_1,understands; produces,truck,camión/troca,truck,,13
item_14,carro,word,col_1,understands; produces,car,carro/coche,car,,14
item_15,tren,word,col_1,understands; produces,train,tren,train,,15
item_16,agua,word,col_1,understands; produces,water,agua,water,,16
item_17,carne,word,col_1,understands; produces,meat,carne,meat,,17
item_18,leche,word,col_1,understands; produces,milk,leche,milk,,18
item_19,helado,word,col_1,understands; produces,snow,helado/nieve,snow,,19
item_20,huevo,word,col_1,understands; produces,egg,huevo,egg,,20
item_21,pan,word,col_1,understands; produces,bread,pan,bread,,21
item_22,tortila,word,col_1,understands; produces,tortilla,tortilla,tortilla,,22
item_23,collar,word,col_1,understands; produces,necklace,collar,necklace,,23
item_24,pantalo,word,col_1,understands; produces,pants,pantalón,pants,,24
item_25,zapato,word,col_1,understands; produces,shoe,zapato,shoe,,25
item_26,boca,word,col_1,understands; produces,mouth,boca,mouth,,26
item_27,brazos,word,col_1,understands; produces,arms,brazos,arms,,27
item_28,manos1,word,col_1,understands; produces,hands,manos,hands,,28
item_29,ojos,word,col_1,understands; produces,eyes,ojos,eyes,,29
item_30,libro,word,col_1,understands; produces,book,libro,book,,30
item_31,osito,word,col_1,understands; produces,teddy,osito,teddy,,31
item_32,pelota,word,col_1,understands; produces,ball,pelota,ball,,32
item_33,tambor,word,col_1,understands; produces,drum,tambor,drum,,33
item_34,botlmam,word,col_1,understands; produces,bottle,botella/mamila,bottle,,34
item_35,dinero,word,col_1,understands; produces,money,dinero,money,,35
item_36,escoba,word,col_2,understands; produces,broom,escoba,broom,,36
item_37,jabon,word,col_2,understands; produces,soap,jabón,soap,,37
item_38,llaves,word,col_2,understands; produces,keys,llaves,keys,,38
item_39,vaso,word,col_2,understands; produces,glass,vaso,glass,,39
item_40,bano,word,col_2,understands; produces,bathroom,baño,bathroom,,40
item_41,cama,word,col_2,understands; produces,bed,cama,bed,,41
item_42,cocina,word,col_2,understands; produces,kitchen,cocina,kitchen,,42
item_43,lavabo,word,col_2,understands; produces,sink,lavabo,sink,,43
item_44,televis,word,col_2,understands; produces,television,televisión,television,,44
item_45,calle,word,col_2,understands; produces,street,calle,street,,45
item_46,cielo,word,col_2,understands; produces,sky,cielo,sky,,46
item_47,flor,word,col_2,understands; produces,flower,flor,flower,,47
item_48,iglstmp,word,col_2,understands; produces,church,iglesia/templo,church,,48
item_49,fiesta,word,col_2,understands; produces,party,fiesta,party,,49
item_50,sol,word,col_2,understands; produces,sun,sol,sun,,50
item_51,abuela,word,col_2,understands; produces,grandma,abuela,grandma,,51
item_52,bebe,word,col_2,understands; produces,baby,bebé,baby,,52
item_53,familia,word,col_2,understands; produces,family,familia,family,,53
item_54,mama,word,col_2,understands; produces,mother,mamá/mami,mother,,54
item_55,nino,word,col_2,understands; produces,boy,niño,boy,,55
item_56,senora,word,col_2,understands; produces,woman,señora,woman,,56
item_57,adiosby,word,col_2,understands; produces,bye-bye,adiós/byebye,bye-bye,,57
item_58,buendia,word,col_2,understands; produces,good morning,buenos días,good morning,,58
item_59,porfavo,word,col_2,understands; produces,please,por favor,please,,59
item_60,shhh,word,col_2,understands; produces,shh,shhh,shh,,60
item_61,ojitos,word,col_2,understands; produces,little eyes,ojitos,little eyes,,61
item_62,unodstr,word,col_2,understands; produces,one; two; three,uno; dos; tres,one; two; three,,62
item_63,si,word,col_2,understands; produces,yes,sí,yes,,63
item_64,caer,word,col_2,understands; produces,fall,caer(se),fall,,64
item_65,comer,word,col_2,understands; produces,eat,comer,eat,,65
item_66,dormir,word,col_2,understands; produces,sleep,dormir(se),sleep,,66
item_67,escribi,word,col_2,understands; produces,write,escribir,write,,67
item_68,jugar,word,col_2,understands; produces,play,jugar,play,,68
item_69,mirar,word,col_2,understands; produces,look,mirar,look,,69
item_70,poner,word,col_2,understands; produces,put on,poner(se),put on,,70
item_71,querer,word,col_3,understands; produces,want,querer,want,,71
item_72,sentars,word,col_3,understands; produces,sit,sentar(se),sit,,72
item_73,tener,word,col_3,understands; produces,have,tener,have,,73
item_74,tomar,word,col_3,understands; produces,drink,tomar(se),drink,,74
item_75,ver,word,col_3,understands; produces,see,ver,see,,75
item_76,estar,word,col_3,understands; produces,be,estar,be,,76
item_77,bonita,word,col_3,understands; produces,pretty,bonita,pretty,,77
item_78,calient,word,col_3,understands; produces,hot,caliente,hot,,78
item_79,cansado,word,col_3,understands; produces,tired,cansado,tired,,79
item_80,grande,word,col_3,understands; produces,big,grande,big,,80
item_81,nuevo,word,col_3,understands; produces,new,nuevo,new,,81
item_82,sucio,word,col_3,understands; produces,dirty,sucio,dirty,,82
item_83,roto,word,col_3,understands; produces,broken,roto,broken,,83
item_84,ahorita,word,col_3,understands; produces,now,ahorita/ahora,now,,84
item_85,hoy,word,col_3,understands; produces,today,hoy,today,,85
item_86,manana,word,col_3,understands; produces,tomorrow,mañana,tomorrow,,86
item_87,como,word,col_3,understands; produces,how,cómo,how,,87
item_88,dondest,word,col_3,understands; produces,where is,¿dónde esta?,where is,,88
item_89,quien,word,col_3,understands; produces,who,quién,who,,89
item_90,ellas,word,col_3,understands; produces,they,ellas,they,,90
item_91,su,word,col_3,understands; produces,its,su,its,,91
item_92,mio,word,col_3,understands; produces,mine,mío,mine,,92
item_93,este,word,col_3,understands; produces,this,éste,this,,93
item_94,un,word,col_3,understands; produces,one,un,one,,94
item_95,mas,word,col_3,understands; produces,more,más,more,,95
item_96,tambien,word,col_3,understands; produces,also,también,also,,96
item_97,mucho,word,col_3,understands; produces,much,mucho,much,,97
item_98,nohay,word,col_3,understands; produces,nothing,no hay,nothing,,98
item_99,afuera,word,col_3,understands; produces,outside,afuera,outside,,99
item_100,ahi,word,col_3,understands; produces,there,ahí,there,,100
item_101,aqui,word,col_3,understands; produces,here,aquí,here,,101
item_102,encima,word,col_3,understands; produces,above,encima,above,,102
item_103,en,word,col_3,understands; produces,in,en,in,,103
item_104,para,word,col_3,understands; produces,for,para,for,,104
